Name,L_initial,A_initial,B_initial,L_calib,A_calib,B_calib,D_Score
2025_02_18_3325,10.625981221730584,5.01270969066271,3.2693658768895992,14.869361718656682,3.927451222860036,7.283175326222381,0.6208651322786158
2025_02_18_3326,10.772870776233065,4.537834494604787,3.1393592147798115,14.972263326250602,3.4537278694105624,7.153902537440963,0.6254495463565277
2025_02_18_3327,8.528776143690601,3.9095758857044975,1.6729988119476162,13.206724592818327,2.62945148671798,5.7493397085254605,0.7712270066488331
2025_02_18_3328,9.652336064772811,4.203787841130274,2.3262583583421663,14.084334811589471,3.009965643904432,6.380469518362514,0.7037224569256215
2025_02_18_3329,9.875578574406104,3.9676146280492026,2.4252068724520344,14.25945601750493,2.7997885792317025,6.465991287637163,0.6940401093292929
2025_02_18_3330,10.80742893742314,4.914384644254708,3.059918481426653,14.987111523251906,3.800084953289392,7.101571652379041,0.6210270452070399
2025_02_18_3331,10.564244530952305,4.82251048749064,3.1440989659280483,14.815799653422951,3.726492599190906,7.162311160267534,0.6306132647626298
2025_02_18_3332,12.238367085003093,6.524840011898035,4.423469832176961,16.134358706512916,5.546898354090811,8.426648638589564,0.4758119610014244
2025_02_18_3333,10.257593999557104,4.522226063326259,2.543431672300315,14.54438712389734,3.346151724858835,6.60876420138721,0.6671766151097926
2025_02_18_3334,11.404045379921026,5.0541610845763545,3.151731008082405,15.432584601297398,3.946144955486633,7.211468455123657,0.5885159904696846
